Country;HS Number;Date from;Date to;Lang 1;Desc 1;Desc 2;Desc 3;Desc 4;Desc 5;Desc 6;Desc 7;Lang 2;Desc 21;Desc 22;Desc 23;Desc 24;Desc 25;Desc 26;Desc 27;Unit of measure;Restriction code;Rate type;Champ24;Champ25;Base rate %;Rate amount;Rate curr;Rate qty;Rate qty uom;Spec App;Cert Ori;Cty Grp
MX;282510;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Hydrazine and hydroxylamine and their inorganic salts---Hydrazine hydrate;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Hydrazine and hydroxylamine and their inorganic salts---Hydrazine hydrate;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282520;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Lithium oxide and hydroxide;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Lithium oxide and hydroxide;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282530;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Vanadium oxides and hydroxides;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Vanadium oxides and hydroxides;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282540;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Nickel oxides and hydroxides---Nickel oxides;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Nickel oxides and hydroxides---Nickel oxides;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282550;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Copper oxides and hydroxides---Copper oxides;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Copper oxides and hydroxides---Copper oxides;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282560;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Germanium oxides and zirconium dioxide;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Germanium oxides and zirconium dioxide;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282570;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Molybdenum oxides and hydroxides;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Molybdenum oxides and hydroxides;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282580;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Antimony oxides;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.------Antimony oxides;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282590;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.---Other---Other;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydrazine and hydroxylamine and their inorganic salts. other inorganic bases. other metal oxides, hydroxides and peroxides.---Other---Other;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282612;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Fluorides.    fluorosilicates, fluoroaluminates     and  other complex fluorine salts.---Fluorides:------Of aluminium;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Fluorides.    fluorosilicates, fluoroaluminates     and  other complex fluorine salts.---Fluorides:------Of aluminium;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282619;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Fluorides.    fluorosilicates, fluoroaluminates     and  other complex fluorine salts.---Fluorides:---Other---Other---Of ammonium;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Fluorides.    fluorosilicates, fluoroaluminates     and  other complex fluorine salts.---Fluorides:---Other---Other---Of ammonium;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282630;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Fluorides.    fluorosilicates, fluoroaluminates     and  other complex fluorine salts.------Sodium hexafluoroaluminate (synthetic cryolite);;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Fluorides.    fluorosilicates, fluoroaluminates     and  other complex fluorine salts.------Sodium hexafluoroaluminate (synthetic cryolite);;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
